key,summary,assignee,priority,status,last_updated,url
"SERVER-127026","Reduce duplication between PDIB resumable index build library and two-phase resu","Unassigned","Major - P3","Backlog","2026-05-18","https://jira.mongodb.org/browse/SERVER-127026"
"SERVER-127020","Add SBE blueprint between stage builders and execution","Ian Boros","Major - P3","Needs Scheduling","2026-05-18","https://jira.mongodb.org/browse/SERVER-127020"
"SERVER-127017","Add a version of ResumedPdibPersistsStateOnFirstDrainWithNoNewRecords for after ","Stephanie Eristoff","Major - P3","Open","2026-05-18","https://jira.mongodb.org/browse/SERVER-127017"
"SERVER-127010","Disallow index_on_incorrect_collection.js in multiversion test suites","Benjamin Pearce","Major - P3","Blocked","2026-05-19","https://jira.mongodb.org/browse/SERVER-127010"
"SERVER-127007","Add server status metric for path arrayness invalidation","Evan Bergeron","Major - P3","In Code Review","2026-05-20","https://jira.mongodb.org/browse/SERVER-127007"
"SERVER-126988","New entrypoint in shard catalog to commit delta chunk operations","Pol Pinol","Major - P3","In Progress","2026-05-20","https://jira.mongodb.org/browse/SERVER-126988"
"SERVER-126987","Implement delta c oplog entry","Pol Pinol","Major - P3","In Progress","2026-05-20","https://jira.mongodb.org/browse/SERVER-126987"
"SERVER-126973","Implement moveRange as a ShardingCoordinator","Silvia Surroca","Major - P3","In Progress","2026-05-18","https://jira.mongodb.org/browse/SERVER-126973"
"SERVER-126894","Add EXPECT_OK alias in unit tests","Unassigned","Major - P3","Needs Scheduling","2026-05-15","https://jira.mongodb.org/browse/SERVER-126894"
"SERVER-126892","Remove delete rawMockClass; in the tracking_allocator_test.cpp ","Unassigned","Minor - P4","Backlog","2026-05-15","https://jira.mongodb.org/browse/SERVER-126892"
"SERVER-126811","Make timeseriesUpgradeDowngrade commit to the shard catalog","Pol Pinol","Major - P3","In Code Review","2026-05-19","https://jira.mongodb.org/browse/SERVER-126811"
