key,summary,assignee,priority,status,last_updated,url
"SERVER-125790","Make CreateCollectionCoordinatorDocument backward compatible","Jordi Olivares Provencio","Major - P3","Closed","2026-05-06","https://jira.mongodb.org/browse/SERVER-125790"
"SERVER-119610","Initialize authoritative shard metadata collections","Unassigned","Major - P3","Backlog","2026-05-06","https://jira.mongodb.org/browse/SERVER-119610"
"SERVER-123284","Remove legacy size count flush behavior","Unassigned","Major - P3","Backlog","2026-05-05","https://jira.mongodb.org/browse/SERVER-123284"
"SERVER-122468","Stop setFCV at feasibility phase if there are index builds in progress","Wolfee Farkas","Major - P3","Closed","2026-05-05","https://jira.mongodb.org/browse/SERVER-122468"
"SERVER-119738","Fail viewless timeseries upgrade/downgrade if there are index builds in progress","Joan Bruguera Micó","Major - P3","Closed","2026-05-05","https://jira.mongodb.org/browse/SERVER-119738"
"SERVER-125932","Fix comparison of collations within Create collection coordinator documents","Jordi Olivares Provencio","Major - P3","Open","2026-05-05","https://jira.mongodb.org/browse/SERVER-125932"
"SERVER-122588","Add source client address to metadata and auth log lines","Unassigned","Major - P3","Open","2026-05-04","https://jira.mongodb.org/browse/SERVER-122588"
"SERVER-121919","When creating PR from Graphite validate_commit_message fails on first run","Zack Winter","Minor - P4","Closed","2026-05-04","https://jira.mongodb.org/browse/SERVER-121919"
"SERVER-125096","Refactor $graphLookup to use LiteParsedNestedPipelines","Finley Lau","Major - P3","Closed","2026-05-04","https://jira.mongodb.org/browse/SERVER-125096"
"SERVER-115560","Show extension versions in buildInfo or hostInfo","Unassigned","Major - P3","Open","2026-05-01","https://jira.mongodb.org/browse/SERVER-115560"
"SERVER-121744","Determine and implement the correct fallback policy for getAvailableDiskSpaceByt","Stephanie Eristoff","Major - P3","Open","2026-04-30","https://jira.mongodb.org/browse/SERVER-121744"
"SERVER-123721","Review configSvrRunRestore for authoritative collection metadata","Unassigned","Major - P3","Backlog","2026-04-30","https://jira.mongodb.org/browse/SERVER-123721"
"SERVER-122275","Use the commit/abort index build optime to drop index build sidetables","Enrico Golfieri","Major - P3","Closed","2026-04-30","https://jira.mongodb.org/browse/SERVER-122275"
