key,summary,assignee,priority,status,last_updated,url
SERVER-108139,Create BucketLifecycleManager interface,Binh Vo,Major - P3,Blocked,2025-08-07,https://jira.mongodb.org/browse/SERVER-108139
SERVER-108071,Handle top level StaleConfig errors in write commands,Unassigned,Major - P3,Blocked,2025-07-24,https://jira.mongodb.org/browse/SERVER-108071
SERVER-108019,Fix how voters are counted in _validate in reconfig,Unassigned,Major - P3,Blocked,2025-09-19,https://jira.mongodb.org/browse/SERVER-108019
SERVER-107700,Remove CheckShardFilteringMetadata hook in favor of checkMetadataConsistency,Unassigned,Major - P3,Blocked,2025-07-17,https://jira.mongodb.org/browse/SERVER-107700
SERVER-107690,Capture Detailed Index Build Metrics and Information,Unassigned,Major - P3,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-107690
SERVER-107480,Avoid checkMetadataConsistency false positives due to sintatically mismatching storage engine config string,Unassigned,Major - P3,Blocked,2025-09-02,https://jira.mongodb.org/browse/SERVER-107480
SERVER-107148,Remove Feature Flag for SPM-4301,[DO NOT USE] Backlog - Catalog and Routing,Major - P3,Blocked,2025-08-13,https://jira.mongodb.org/browse/SERVER-107148
SERVER-106941,"Mirror cloud's addition of ""wiredTigerSkipTableLoggingChecksOnStartup=true"" in server/tests",Unassigned,Minor - P4,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-106941
SERVER-106849,Support $vectorSearch in lookup subpipeline on a view,Unassigned,Major - P3,Blocked,2025-07-03,https://jira.mongodb.org/browse/SERVER-106849
SERVER-106834,Replace binaries in all kill primary multi-version test suites,Unassigned,Major - P3,Blocked,2025-07-04,https://jira.mongodb.org/browse/SERVER-106834
SERVER-106805,Add directories for support-tools repo,Unassigned,Major - P3,Blocked,2025-08-22,https://jira.mongodb.org/browse/SERVER-106805
SERVER-106783,Move matcher under db/query/compiler/logical_model/,Anton Korshunov,Major - P3,Blocked,2025-07-29,https://jira.mongodb.org/browse/SERVER-106783
SERVER-106782,Create db/query/compiler directory to consolidate QO code,Anton Korshunov,Major - P3,Blocked,2025-12-02,https://jira.mongodb.org/browse/SERVER-106782
SERVER-106761,Remove type enforcement for performTimeseriesCompressionIntermediateDataIntegrityCheckOnInsert,Unassigned,Major - P3,Blocked,2025-07-01,https://jira.mongodb.org/browse/SERVER-106761
SERVER-106737,Remove assertNoMovePrimaryInProgress from dropIndexes code,Unassigned,Major - P3,Blocked,2025-06-26,https://jira.mongodb.org/browse/SERVER-106737
SERVER-106669,Remove Feature Flag for SPM-4164 / Intent Registration,Sean Zimmerman,Major - P3,Blocked,2025-12-04,https://jira.mongodb.org/browse/SERVER-106669
SERVER-106572,Rebuild full IXSCAN for sorting from cache,Unassigned,Major - P3,Blocked,2025-07-28,https://jira.mongodb.org/browse/SERVER-106572
SERVER-106081,Remove 8.1 error code from $lookup parse error tests,Unassigned,Major - P3,Blocked,2025-07-31,https://jira.mongodb.org/browse/SERVER-106081
SERVER-106005,Always scan capped collections in natural order for dbhash,Unassigned,Major - P3,Blocked,2025-06-16,https://jira.mongodb.org/browse/SERVER-106005
SERVER-105653,[Test only] Implicitly shard a collection upon runCommand,Unassigned,Major - P3,Blocked,2025-06-26,https://jira.mongodb.org/browse/SERVER-105653
SERVER-105300,Make the ownership filter to not be copiable,Unassigned,Major - P3,Blocked,2025-10-08,https://jira.mongodb.org/browse/SERVER-105300
SERVER-105181,Replace uses of setAlwaysInterruptAtStepUpStepDown,Unassigned,Major - P3,Blocked,2025-12-04,https://jira.mongodb.org/browse/SERVER-105181
SERVER-105118,Implement easy way to flush routing/filtering info on shards/csrs,Unassigned,Major - P3,Blocked,2025-12-17,https://jira.mongodb.org/browse/SERVER-105118
SERVER-105049,Reevaluate BSON 'anchor' logic in IDL after BSON API improvements,Unassigned,Major - P3,Blocked,2025-05-13,https://jira.mongodb.org/browse/SERVER-105049
SERVER-105048,Remove IDL extra_data feature once ValidatedTenancyScope is gone,Unassigned,Major - P3,Blocked,2025-05-15,https://jira.mongodb.org/browse/SERVER-105048
SERVER-105024,Add async interface to waitable atomic,Mathias Stearn,Minor - P4,Waiting For User Input,2025-10-07,https://jira.mongodb.org/browse/SERVER-105024
SERVER-104973,Remove MongoProcessInterface::expectUnshardedCollectionInScope,Unassigned,Major - P3,Blocked,2025-09-05,https://jira.mongodb.org/browse/SERVER-104973
SERVER-104706,Remove epoch from chunk merge and split paths,Unassigned,Major - P3,Blocked,2025-05-05,https://jira.mongodb.org/browse/SERVER-104706
SERVER-104499,Evaluate whether the DDL lock manager is an internal CAR-only implementation detail or a public feature,Unassigned,Major - P3,Blocked,2025-05-23,https://jira.mongodb.org/browse/SERVER-104499
SERVER-104382,Enable CheckInvalidDatabaseInGlobalCatalog feature flag after 9.0 branches out,Unassigned,Major - P3,Blocked,2025-05-08,https://jira.mongodb.org/browse/SERVER-104382
SERVER-104348,enable live-restore JSTests on windows,Unassigned,Minor - P4,Blocked,2025-04-25,https://jira.mongodb.org/browse/SERVER-104348
SERVER-103877,Ensure only the DB primary shard accepts requests with matching database version,Unassigned,Major - P3,Blocked,2025-05-05,https://jira.mongodb.org/browse/SERVER-103877
SERVER-103839,stable api does not log errors onto the server side log,Unassigned,Major - P3,Waiting For User Input,2025-06-17,https://jira.mongodb.org/browse/SERVER-103839
SERVER-103785,Use $listCatalog aggregation stage in MigrationDestinationManager to clone collection indexes and options,Unassigned,Major - P3,Blocked,2025-05-29,https://jira.mongodb.org/browse/SERVER-103785
SERVER-103531,Remove Feature Flag for SPM-4060,[DO NOT USE] Backlog - Catalog and Routing,Major - P3,Blocked,2025-04-10,https://jira.mongodb.org/browse/SERVER-103531
SERVER-103511,Acquire better support for VDSO in our vendored libunwind,Unassigned,Major - P3,Blocked,2025-04-08,https://jira.mongodb.org/browse/SERVER-103511
SERVER-103415,Replace CollectionPtr(const Collection* coll) with a non-const version,Unassigned,Major - P3,Blocked,2025-04-14,https://jira.mongodb.org/browse/SERVER-103415
SERVER-103278,Fix explain output for sharded distinct,Unassigned,Minor - P4,Blocked,2025-04-07,https://jira.mongodb.org/browse/SERVER-103278
SERVER-102665,MongoDB generates huge amount of log messages,Unassigned,Major - P3,Waiting For User Input,2025-05-28,https://jira.mongodb.org/browse/SERVER-102665
SERVER-102647,Remove FixedFCVRegion from the legacy createDatabase path,Unassigned,Major - P3,Blocked,2025-04-25,https://jira.mongodb.org/browse/SERVER-102647
SERVER-102615,Remove fcv_context_unaware parameter once all feature flags are converted to the new API,Unassigned,Major - P3,Blocked,2025-04-25,https://jira.mongodb.org/browse/SERVER-102615
SERVER-102462,Support database authoritative metadata in selective magic restore,Unassigned,Major - P3,Blocked,2025-04-02,https://jira.mongodb.org/browse/SERVER-102462
SERVER-102434,Investigate serializing setFCV so that FCV transitions happen in the same order with respect to other oplog entries on primary and secondaries,Unassigned,Major - P3,Blocked,2025-12-17,https://jira.mongodb.org/browse/SERVER-102434
SERVER-102379,Make QueryPlanKilled retryable read,Unassigned,Major - P3,Blocked,2025-03-31,https://jira.mongodb.org/browse/SERVER-102379
SERVER-102303,Remove the MONGO_COMPILER_DIAGNOSTIC_IGNORED_TRANSITIONAL macro,Unassigned,Major - P3,Blocked,2025-04-01,https://jira.mongodb.org/browse/SERVER-102303
SERVER-102196,Coverity analysis defect 172168: Uncaught exception,Unassigned,Major - P3,Blocked,2025-11-03,https://jira.mongodb.org/browse/SERVER-102196
SERVER-101762,Investigate removing AutoGetDBs when calling set/clearDBInfo() on the DSS,Unassigned,Major - P3,Blocked,2026-01-28,https://jira.mongodb.org/browse/SERVER-101762
SERVER-101719,Add rollback recovery perf test coverage,Unassigned,Major - P3,Blocked,2025-06-03,https://jira.mongodb.org/browse/SERVER-101719
SERVER-101576,Improve cluster distinct command to skip aggregating results when targeting a single shard,Unassigned,Major - P3,Blocked,2025-03-14,https://jira.mongodb.org/browse/SERVER-101576
SERVER-101551,Consider making ownership globs in src/mongo/db more conservative,Unassigned,Major - P3,Blocked,2025-03-04,https://jira.mongodb.org/browse/SERVER-101551
SERVER-101544,Investigate if DocumentSourceMatch::joinMatchWith can operate over MatchExpression instead of BSONObj,Unassigned,Major - P3,Blocked,2025-06-25,https://jira.mongodb.org/browse/SERVER-101544
SERVER-101535,Add unit test coverage for ForwardableOperationMetadata,Unassigned,Major - P3,Blocked,2025-05-08,https://jira.mongodb.org/browse/SERVER-101535
