key,summary,assignee,priority,status,last_updated,fix_versions,url
KAFKA-8130,"The consumer is not closed in GetOffsetShell, will exhausted socket channel when  frequent calls",Unassigned,Trivial,Open,2024-12-22,0.10.2.2,https://issues.apache.org/jira/browse/KAFKA-8130
KAFKA-8105,Release notes page for 1.1.0 not working,Unassigned,Minor,Open,2019-03-14,1.1.0,https://issues.apache.org/jira/browse/KAFKA-8105
KAFKA-7839,CLASSPATH with single component containing globs breaks kafka-run-class.sh,Unassigned,Major,Patch Available,2023-12-11,0.11.0.3,https://issues.apache.org/jira/browse/KAFKA-7839
KAFKA-7017,GroupCoordinator response error: Broker: Group coordinator not available,Unassigned,Critical,Open,2018-06-07,1.1.0,https://issues.apache.org/jira/browse/KAFKA-7017
KAFKA-6856,Consumer Group hung in initialization/bad state,Unassigned,Major,Open,2018-05-03,1.0.0,https://issues.apache.org/jira/browse/KAFKA-6856
KAFKA-6689,Kafka not release .deleted file.,Unassigned,Critical,Open,2024-04-22,0.10.1.1,https://issues.apache.org/jira/browse/KAFKA-6689
KAFKA-5148,Add configurable compression block size to the broker,Unassigned,Major,Open,2017-06-02,0.10.2.0,https://issues.apache.org/jira/browse/KAFKA-5148
KAFKA-4790,Kafka cannot recover after a disk full,Unassigned,Major,Reopened,2019-07-19,0.11.0.0,https://issues.apache.org/jira/browse/KAFKA-4790
KAFKA-4669,KafkaProducer.flush hangs when NetworkClient.handleCompletedReceives throws exception,Rajini Sivaram,Critical,Reopened,2021-08-19,"0.11.0.1,1.0.0",https://issues.apache.org/jira/browse/KAFKA-4669
KAFKA-4583,KafkaConsumerTest.testGracefulClose transient failure,Rajini Sivaram,Major,Reopened,2023-11-29,0.10.2.0,https://issues.apache.org/jira/browse/KAFKA-4583
KAFKA-4262,Intermittent unit test failure ReassignPartitionsClusterTest.shouldExecuteThrottledReassignment,Rajini Sivaram,Major,Reopened,2019-02-22,0.10.1.0,https://issues.apache.org/jira/browse/KAFKA-4262
KAFKA-3663,Proposal for a kafka broker command - kafka-brokers.sh,Unassigned,Major,Patch Available,2024-02-20,"0.10.2.0,0.11.0.0",https://issues.apache.org/jira/browse/KAFKA-3663
