key,summary,assignee,priority,status,last_updated,url
KAFKA-17261,Support to create a quorum controller which is not in cluster,Kuan Po Tseng,Major,In Progress,2025-02-11,https://issues.apache.org/jira/browse/KAFKA-17261
KAFKA-17252,Forwarded source task zombie fencings may fail when leader has just started,Chris Egerton,Major,In Progress,2025-02-06,https://issues.apache.org/jira/browse/KAFKA-17252
KAFKA-17241,KIP-853 follow-ups,José Armando García Sancio,Major,In Progress,2025-01-17,https://issues.apache.org/jira/browse/KAFKA-17241
KAFKA-17221,Flaky test DedicatedMirrorIntegrationTest::testMultiNodeCluster,Chris Egerton,Major,In Progress,2024-07-31,https://issues.apache.org/jira/browse/KAFKA-17221
KAFKA-17220,Define new metrics for MirrorMaker2,PoAn Yang,Major,In Progress,2024-09-17,https://issues.apache.org/jira/browse/KAFKA-17220
KAFKA-17187,Add executor-AlterAcls to ClusterTestExtensions#SKIPPED_THREAD_PREFIX,PoAn Yang,Minor,In Progress,2024-07-23,https://issues.apache.org/jira/browse/KAFKA-17187
KAFKA-17027,Inconsistent casing in Selector metrics tags,PoAn Yang,Major,In Progress,2024-06-26,https://issues.apache.org/jira/browse/KAFKA-17027
KAFKA-16995,The listeners broker parameter incorrect documentation ,dujian0068,Minor,In Progress,2026-01-19,https://issues.apache.org/jira/browse/KAFKA-16995
KAFKA-16925,stream-table join does not immediately forward expired records on restart,Ayoub Omari,Major,In Progress,2026-01-28,https://issues.apache.org/jira/browse/KAFKA-16925
KAFKA-16907,Fix RaftUtil's type complexity,TengYao Chi,Minor,In Progress,2025-08-31,https://issues.apache.org/jira/browse/KAFKA-16907
KAFKA-16871,Clean up internal AssignmentConfigs class in Streams,João Pedro Fonseca,Major,In Progress,2024-09-04,https://issues.apache.org/jira/browse/KAFKA-16871
KAFKA-16823,Extract LegacyConsumer-specific unit tests from generic KafkaConsumerTest ,PoAn Yang,Major,In Progress,2025-02-05,https://issues.apache.org/jira/browse/KAFKA-16823
KAFKA-16707,Adding new Principal Types on Standard ACL side for filtering KafkaPrincipal,Franck LEDAY,Major,In Progress,2025-02-05,https://issues.apache.org/jira/browse/KAFKA-16707
