key,summary,assignee,priority,status,last_updated,url
KAFKA-20004,"Ensure PRs are only opened against ""markdown"" branch in kafka-site",Unassigned,Major,Open,2025-12-17,https://issues.apache.org/jira/browse/KAFKA-20004
KAFKA-19997,Improve handling and visibility of invalid dynamic configurations,TaiJuWu,Major,Open,2025-12-16,https://issues.apache.org/jira/browse/KAFKA-19997
KAFKA-19996,The conflicts between ExpandIsr and ShrinkIsr,Unassigned,Major,Open,2025-12-15,https://issues.apache.org/jira/browse/KAFKA-19996
KAFKA-19973,Improve CI performance,Unassigned,Minor,Open,2025-12-06,https://issues.apache.org/jira/browse/KAFKA-19973
KAFKA-19961,Fix flaky ShareConsumerTest#testPollThrowsInterruptExceptionIfInterrupted,Uladzislau Blok,Major,Open,2025-12-06,https://issues.apache.org/jira/browse/KAFKA-19961
KAFKA-19952,When remote storage keep outage status. the local segement never get deleted,Unassigned,Major,Open,2026-01-29,https://issues.apache.org/jira/browse/KAFKA-19952
KAFKA-19949,Single topic not deleting old segments with cleanup.policy=delete + retention.ms applied,Unassigned,Major,Open,2025-12-02,https://issues.apache.org/jira/browse/KAFKA-19949
KAFKA-19935,Introduce TopologyValidator Utils for improving topology evolution comptiability.,sanghyeok An,Minor,Open,2025-12-08,https://issues.apache.org/jira/browse/KAFKA-19935
KAFKA-19933,Make new voter caught up criteria strict,Jimmy Wang,Major,Open,2025-11-30,https://issues.apache.org/jira/browse/KAFKA-19933
KAFKA-19923,Kafka Streams throws ClassCastException with different Consumed instances.,sanghyeok An,Minor,Open,2025-12-08,https://issues.apache.org/jira/browse/KAFKA-19923
KAFKA-19917,Move AbstractFetcherThread to server module,Chih-Yuan Chien,Major,Open,2025-11-25,https://issues.apache.org/jira/browse/KAFKA-19917
KAFKA-19916,"Move AbstractFetcherManager, ReplicaFetcherManager and ReplicaAlterLogDirsManager to server module",Chih-Yuan Chien,Major,Open,2025-11-25,https://issues.apache.org/jira/browse/KAFKA-19916
KAFKA-19908,Support rack awareness in RangeAssignor#assignHeterogeneousGroup,PoAn Yang,Major,Open,2025-11-23,https://issues.apache.org/jira/browse/KAFKA-19908
KAFKA-19907,Support rack awareness in RangeAssignor#assignHomogeneousGroup,TaiJuWu,Major,Open,2025-11-23,https://issues.apache.org/jira/browse/KAFKA-19907
KAFKA-19895,__consumer_offsets Partitions Growing to TB Size and Not Cleaning Until Broker Restart,Unassigned,Critical,Open,2025-11-19,https://issues.apache.org/jira/browse/KAFKA-19895
KAFKA-19887, Add separate option for topic regex pattern matching in command-line tools,Lan Ding,Minor,Open,2025-11-13,https://issues.apache.org/jira/browse/KAFKA-19887
KAFKA-19885,Explicity define either `execution` or `dry-run`when altering the offsets,Chia-Ping Tsai,Blocker,Open,2025-11-13,https://issues.apache.org/jira/browse/KAFKA-19885
KAFKA-19879,How to keep compatibility when the configuration validator gets changed?,Ming-Yen Chung,Major,Open,2025-11-30,https://issues.apache.org/jira/browse/KAFKA-19879
KAFKA-19872,Move DelayedOperations to server module,Chih-Yuan Chien,Major,Open,2025-11-26,https://issues.apache.org/jira/browse/KAFKA-19872
KAFKA-19867,Broker only node sending UpdateVoteRequest when it can't really become a voter,Unassigned,Major,Open,2025-11-25,https://issues.apache.org/jira/browse/KAFKA-19867
KAFKA-19854,update the docs of AcknowledgementCommitCallback ,Jhen-Yung Hsu,Minor,Open,2025-11-01,https://issues.apache.org/jira/browse/KAFKA-19854
KAFKA-19847,Adjust quorum-related config lower bounds,TaiJuWu,Major,Open,2025-12-10,https://issues.apache.org/jira/browse/KAFKA-19847
KAFKA-19838,Follow up for KIP-1217,Mickael Maison,Major,Open,2025-10-27,https://issues.apache.org/jira/browse/KAFKA-19838
KAFKA-19837,Follow up for KIP-1188,Mickael Maison,Major,Open,2025-10-27,https://issues.apache.org/jira/browse/KAFKA-19837
KAFKA-19834,Cleanup suppressions.xml,majialong,Minor,Open,2025-10-25,https://issues.apache.org/jira/browse/KAFKA-19834
KAFKA-19832,Move ClientOAuthIntegrationTest to clients-integration-tests,Kirk True,Major,Open,2025-12-10,https://issues.apache.org/jira/browse/KAFKA-19832
KAFKA-19828,Intermittent test failures when using chained emit strategy on window close,Unassigned,Major,Open,2025-11-04,https://issues.apache.org/jira/browse/KAFKA-19828
KAFKA-19819,Move BrokerMetadataPublisher to metadata module,Jimmy Wang,Major,Open,2025-10-21,https://issues.apache.org/jira/browse/KAFKA-19819
KAFKA-19818,Move ClientQuotaMetadataManager to metadata module,Jimmy Wang,Major,Open,2025-10-21,https://issues.apache.org/jira/browse/KAFKA-19818
KAFKA-19812,Unbound Error Thrown if some variables are not set for SASL/SSL configuration,Unassigned,Minor,Open,2025-10-25,https://issues.apache.org/jira/browse/KAFKA-19812
KAFKA-19805,Add acks dimension to BrokerTopicMetrics for produce requests,伍学明,Major,Open,2025-10-17,https://issues.apache.org/jira/browse/KAFKA-19805
KAFKA-19794,MirrorCheckpointTask causes consumers on target cluster to rewind offsets or skip messages due to erroneous offset commits,Unassigned,Major,Open,2025-10-15,https://issues.apache.org/jira/browse/KAFKA-19794
KAFKA-19786,Session mode compileScala reports missing classes java main directory,HongYi Chen,Minor,Open,2025-10-13,https://issues.apache.org/jira/browse/KAFKA-19786
KAFKA-19770,Remove the `gradlew` workaround for running the old `gradle-wrapper.jar`,Chia-Ping Tsai,Minor,Open,2025-10-08,https://issues.apache.org/jira/browse/KAFKA-19770
KAFKA-19766,Upgrade Kafka repo to use JUnit6,Unassigned,Minor,Open,2025-10-08,https://issues.apache.org/jira/browse/KAFKA-19766
KAFKA-19762,Turn on Gradle reproducible builds feature,Unassigned,Minor,Open,2025-10-27,https://issues.apache.org/jira/browse/KAFKA-19762
KAFKA-19759,Add built-in TTL (Time-to-Live) support for Kafka Streams State Stores,Unassigned,Minor,Open,2025-10-06,https://issues.apache.org/jira/browse/KAFKA-19759
KAFKA-19743,[DISCUSS] Exploring Compile-time AST Generation as an Alternative Approach for Kafka Protocol Classes,Unassigned,Trivial,Open,2025-09-29,https://issues.apache.org/jira/browse/KAFKA-19743
KAFKA-19741,Remove deprecated metrics in Rename AssignmentsManager and RemoteStorageThreadPool,Ken Huang,Major,Open,2025-09-29,https://issues.apache.org/jira/browse/KAFKA-19741
KAFKA-19736,KAFKA-15665 prevents safe reassignments from completing,Yu Chia Ma,Major,Open,2025-10-24,https://issues.apache.org/jira/browse/KAFKA-19736
KAFKA-19729,"Remove addMetric(MetricName metricName, Measurable measurable) method.",majialong,Minor,Open,2025-09-23,https://issues.apache.org/jira/browse/KAFKA-19729
KAFKA-19728,Disk space is not being freed,Unassigned,Major,Open,2025-09-24,https://issues.apache.org/jira/browse/KAFKA-19728
KAFKA-19726,Throw an exception if client tries to override topic replication factor with a value that it < min.insync.replicas,Genseric Ghiro,Minor,Open,2025-10-16,https://issues.apache.org/jira/browse/KAFKA-19726
KAFKA-19718,docker_build_test.py does not run tests when using --kafka-archive.,Shivsundar R,Major,Open,2025-09-17,https://issues.apache.org/jira/browse/KAFKA-19718
